,Date,User,Tweet
42,2022-09-26 11:32:28+00:00,ZARA,"ELIE TOP x Zara. Limited accessories collection. Strong lines and solid volumes, with baroque and futurist accents. https://t.co/ujhycUO8hN https://t.co/JtwTTKCPbc"
43,2022-09-22 17:00:08+00:00,ZARA,"ZARA ORIGINS. In the campaign, Japan provides a clean, thoughtful, and exquisitely designed background to highlight a collection that has been refined through learnings from previous editions yet still retains its minimal silhouettes and patterns https://t.co/kdb0vUeQth https://t.co/1Kf4gRX2rx"
44,2022-09-22 13:30:02+00:00,ZARA,"ZARA ORIGINS. Throughout the design process of the new collection of timeless wardrobe pieces that offers styles suitable to be worn across all months, Antonio Vivaldi's ""Four Seasons"" became the soundtrack and inspiration for the project https://t.co/kdb0vUeQth https://t.co/Iw5L4FZfqI"
45,2022-09-22 08:28:06+00:00,ZARA,"ZARA ORIGINS is a project focused upon building a contemporary wardrobe. The aim is to conceive, create and offer garments which are newly-refined archetypes of their kind, fabricated in the finest materials, and with high standards of expertise. https://t.co/kdb0vUeQth https://t.co/io3yTSwFYA"
46,2022-09-17 15:00:09+00:00,ZARA,KIDS/ LEATHER HIGH TOP SNEAKERS BY GOLA X ZARA https://t.co/eYaDPm2aIm https://t.co/gALose64Od
47,2022-09-16 17:00:13+00:00,ZARA,New this week https://t.co/qEejZfOcEx https://t.co/6CEMcKu8hv
48,2022-09-16 13:00:26+00:00,ZARA,New arrivals for the weekend https://t.co/qEejZfOcEx https://t.co/dzs5fPlf6O
49,2022-09-16 09:05:05+00:00,ZARA,Get ready for the weekend  https://t.co/qEejZfOcEx https://t.co/Als9p8Cwwc
50,2022-09-15 17:13:03+00:00,ZARA,Citizens come-back. Minimal collection. #zarawoman https://t.co/F7CU76OSBk https://t.co/OB501B1rJJ
51,2022-09-15 15:12:02+00:00,ZARA,Minimal collection. Check collection:  https://t.co/F7CU76OSBk https://t.co/1DYC2umXFU
52,2022-09-15 12:16:54+00:00,ZARA,Minimal collection. Citizens come-back #zarawoman https://t.co/F7CU76OSBk https://t.co/PoMNtm4fVO
53,2022-09-12 17:00:15+00:00,ZARA,"Studio Nicholson + Zara presents a compact collection of deconstructed menswear classics 

https://t.co/8SrF9Wm3M7 https://t.co/sPW5CPxPiV"
54,2022-09-12 14:06:33+00:00,ZARA,"Studio Nicholson + Zara presents a compact collection of deconstructed menswear classics 

Photographer: Craig McDean 

Stylist: Jodie Barnes 

https://t.co/8SrF9Wm3M7 https://t.co/1Pkwd2WGnz"
55,2022-09-12 11:48:25+00:00,ZARA,"STUDIO NICHOLSON + ZARA. Independent British brand Studio Nicholson has combined forces with Zara to bring the merits of their trademark modular wardrobe to a wider audience 

Photographer: Craig McDean 

Stylist: Jodie Barnes 

https://t.co/8SrF9Wm3M7 https://t.co/LUB5jKN57V"
56,2022-09-10 17:00:05+00:00,ZARA,"Narciso Rodriguez x Zara
The designer Narciso Rodriguez re-explores some of his most iconic pieces in this collection #narcisorodriguezxzara
https://t.co/GnGi01nqUT https://t.co/8XB9cfqxh2"
57,2022-09-10 13:00:04+00:00,ZARA,"Narciso Rodriguez x Zara
The exclusive collection For Zara: designer Narciso Rodriguez re-explores some of his most iconic pieces #narcisorodriguezxzara https://t.co/M9hfU7HhXD"
58,2022-09-10 09:00:07+00:00,ZARA,"Narciso Rodriguez x Zara
The exclusive collection For Zara: designer Narciso Rodriguez re-explores some of his most iconic pieces #narcisorodriguezxzara

https://t.co/GnGi01nqUT https://t.co/blYsfFcZka"
59,2022-09-08 17:00:11+00:00,ZARA,"Narciso Rodriguez x Zara. Making clothes has always been deeply personal for the American designer Narciso Rodriguez—“My strength is my fabrics, my ateliers, my hands,” he once said #narcisorodriguezxzara
https://t.co/GnGi01nqUT https://t.co/JdHnqJe5GA"
60,2022-09-08 13:00:11+00:00,ZARA,"Narciso Rodriguez x Zara
In an exclusive collection For Zara, minimalist designer Narciso Rodriguez re-explores some of his most iconic pieces #narcisorodriguezxzara
https://t.co/GnGi01nqUT https://t.co/oLnG7M5X1a"
